cluster,count
1,354441
2,218782
3,344225
4,229192
5,520101
6,335954
7,418383
8,20592
9,100678
10,889244
11,264581
12,287301
13,298746
14,310623
15,292655
16,273412
17,229317
18,278930
19,127515
20,497079
21,211747
22,414666
23,94771
24,1468
25,137698
26,62886
27,278138
28,23112
29,421063
30,287592
31,8351
32,75003
33,178577
34,358304
35,212415
36,81407
37,437806
38,37908
39,373794
40,245017
41,33411
42,621267
43,138963
44,75650
45,206365
46,154201
47,333338
48,518166
49,430839
50,37832
51,82935
52,349270
53,183374
54,114749
55,130506
56,200746
57,453689
58,375232
59,345534
60,264072
61,330622
62,471421
63,227068
64,520827
65,110222
66,190350
67,434110
68,533756
69,551352
70,369086
71,377016
72,249835
73,554601
74,615103
75,594869
76,314068
77,418038
78,440073
79,258526
80,876630
81,491644
82,410459
83,211228
84,220350
85,591010
86,866280
87,458553
88,193439
89,656820
90,974405
91,764472
92,66389
93,187374
94,99138
95,416663
96,863822
97,779932
98,838577
99,1459496
100,2306216
