hCluster_cap,CD4,CD8,CD45,SMA,Vimentin,CD31,Keratin-pan,E-cadherin,MastChyTry,MPO,CD20,CD3,CD14,HLA-DR-DQ-DP,Foxp3,CD16,CD11c,CD206,CD11b,CD68,CD163,CD209
1,0.0376276990802775,0.00679956248285751,0.05929916671031,0.00959572223432011,0.153330399568857,0.00509453062310955,0.00132156542268265,0.00052951184529668,0.000390274317933946,0.00255179450322736,0.00130720353918236,0.0257720046781598,0.0431711061328796,0.0336471623478473,0.00172069857484617,0.00620259143839187,0.017585511661833,0.0329241377100352,0.0206363211473373,0.017304562637624,0.00152013885583171,0.00104402597734909
2,0.0173017749985875,0.00330576831742683,0.0286177710104827,0.00118599112551465,0.117863680656903,0.000368569230338125,0.000608179906390232,0.000293596788186169,3.84334883013833e-05,0.00106468977367651,0.00137398048271767,0.00376612438889454,0.0274187404262802,0.104298851889658,0.00017789577380563,0.00193647632766915,0.0204936878633527,0.0635875399468794,0.0317589963046727,0.336062897912002,0.000785388843630318,0.00030606676921766
3,0.113973375070999,0.0263368342920589,0.221079019751235,0.00693903688748172,0.0758753326835261,0.00130105293371861,0.000966074161841624,7.49210500196789e-05,2.95303794564639e-05,0.00562510655566025,0.00221119528071447,0.0486288234313045,0.157826763050577,0.0123056076124112,0.00425919788028931,0.254880393119853,0.0206265640322137,0.0109667620847487,0.0106861180915304,0.00693727826633363,0.0177052992145942,0.00256400526087509
4,0.0682166142870367,0.00806520966110223,0.0832410763749656,0.00147172661603927,0.0574632332128504,0.0024334985054942,0.00542540491897464,0.00327810141426515,0.00027950198187181,0.000801968378857471,0.00273756613202807,0.0290231916493728,0.0345962762396026,0.14115117511333,0.001029568941904,0.00435759511778437,0.0257395867576666,0.0276650651425967,0.0321950049875822,0.0215285230077826,0.00113935739829657,0.000454637237895756
5,0.00646200897739164,0.00964867683662945,0.0198714997301568,0.00924953083677645,0.0579581044483306,0.275744445899389,0.00419747930419329,0.00370715029895578,0.00052246892627461,0.00849811588338516,0.00272158026175894,0.00677364502033855,0.00930791684811624,0.0270354806702989,0.000445096344637747,0.00202862412015922,0.00116729627383479,0.00242870215440598,0.00244860564659988,0.00070270617483722,0.000266885467859895,0.000265320169344716
6,0.0189579547331653,0.0106162033012434,0.0348795778883404,0.00803613134138048,0.050593670447872,0.00348107806259193,0.00551616209835818,0.00855135645203854,0.833227711149518,0.0109494816581589,0.00403922650352667,0.0152187831274643,0.00996722592656621,0.016944009880058,0.00125845845157182,0.000598097766922734,0.00352148389680526,0.00543866212632415,0.00124868203756091,0.00128793476331118,0.000446873527554575,0.000802989497933957
7,0.0368991617928237,0.319919875220813,0.191248052799416,0.00330014093211899,0.0407871420431733,0.00277641412354989,0.00136918457191061,0.000506156896082416,0.000659916921232562,0.00125373695926381,0.00784255698491737,0.208128313055484,0.0264456239682467,0.0197268749702178,0.00157881629208491,0.00885772734756775,0.00946400502715113,0.00617831414619083,0.00413033799400432,0.00127807264002858,0.000819449349463632,0.000572885866173344
8,0.124336203442408,0.01494041157234,0.213258961643586,0.00020539317749101,0.0704536394360263,0.00144283206568323,0.00113211326899436,0.00117646922981892,0.000257484871575031,0.00239962216012367,0.00380139119091507,0.0341796074172873,0.109001398118723,0.145261229284852,0.00152805810745125,0.0143389644459551,0.220369522022695,0.0759612572460563,0.0696290124622697,0.0222595452002451,0.00294696078867556,0.000809348075121837
9,0.0736816138145831,0.00627693622652395,0.147823551321433,0.00258393467023273,0.123240667647375,0.00124986528059148,0.00182098018067171,0.00156757671101502,0.000519719054479273,0.00319346066512883,0.00116404362289431,0.0172086697601811,0.162161077214212,0.135647792421126,0.00261031807204216,0.0242652281669406,0.0896608473296756,0.216301231438375,0.120956743580134,0.0617742092405843,0.00830726646355003,0.0038334828063227
10,0.0339740943696869,0.00762829225773692,0.0819152900924154,0.00153257051593747,0.0202599587834845,0.00131261614307621,0.00106768312392695,0.000469325906761135,0.000292068972715126,0.00150499120114216,0.00125514874126315,0.0106360654059735,0.182491628106997,0.0548223399347887,0.000578164146565133,0.0085301880339554,0.0285807292431022,0.0317010555481639,0.0267595301686106,0.0081116994189939,0.00266145912522799,0.000619610000775213
11,0.132103207146115,0.0213215143054944,0.161099448216409,0.00140274173865801,0.0244234429730673,0.00118588012451059,0.000902053667304959,0.000245341696326706,0.000306050365245593,0.00128729553957359,0.00436769857936026,0.148722084438381,0.0342124641423022,0.0213829819537547,0.00435349928403903,0.00642955223465159,0.0137343739392313,0.00999024769240973,0.00588530526414729,0.00247412200928871,0.00080943482460062,0.000685757511506549
12,0.043758911678967,0.0220827894925159,0.165211759710352,0.000528806864555462,0.0291234916017669,0.0018364692571113,0.000986555931265099,0.000500858591817566,0.000254155451857347,0.000459356646925253,0.204142210632936,0.0516937463444469,0.0125615068831133,0.0476039226635177,0.00061202504603295,0.00299317996647221,0.00665843368075859,0.00245700180358905,0.00334094212026082,0.00144982603267903,0.00597303934324965,0.00106164345730551
13,0.21005255471138,0.00172055276570518,0.0558885140751283,0.000245181379305783,0.00430119898471503,0.00103293578153511,0.000537680711544208,0.000155134025057998,0.000102479738803343,0.000117064972053288,0.00140666482199915,0.0292215653154617,0.00538831203532809,0.00582575487776129,0.000558776047584496,0.00156035705969318,0.00173224413365294,0.00128817579040225,0.000304430322540265,0.000849572092405161,9.97229346999158e-05,9.94944650351952e-05
14,0.0159445857665085,0.00620059258084642,0.018926329963828,0.47267011060992,0.0844226930616541,0.00987137855698886,0.0123591411383054,9.92218743296856e-05,0.000603774701272918,0.00188153322487253,0.00047546854494451,0.0117882808724262,0.0168423866876428,0.0150118401645428,0.00289490468398078,0.011471788214551,0.000486677008874521,0.00431792170959502,0.00125781884647517,0.00100097912308766,0.0019608593884584,0.000569481918398205
15,0.0414909737550624,0.0040729633961594,0.0464993447605693,0.00533954999350739,0.02253013395604,0.000260096457493578,0.0124483999355071,0.000503450309203072,6.22818594285035e-05,0.000283545519577028,0.00110084441949508,0.0668158482918646,0.0105958870730792,0.00835620394940832,1.35160615585996,0.00972349040051256,0.00386199080952929,0.00651512402214907,0.00718855908925332,0.00072484215476037,0.0010670408333936,0.000607513905437767
16,0.0446795060274553,0.00390411163626757,0.135686772179169,0.000309124562484096,0.0500684526850734,0.00216764523892967,0.000804538404187987,0.000282398652106587,3.5049943756595e-05,0.0346552408374783,0.00054619496851352,0.0135095709038102,0.1225370911279,0.0865316185768517,0.00197389626249294,0.0170455727409801,0.114805678868437,0.0800693603105165,0.361784377398528,0.0209148888684432,0.00398877818461076,0.000639843380424769
17,0.241312604408155,0.0237347720434006,0.207939343312734,0.0191039698112485,0.106247150206717,0.00239503104240868,0.00220107874485566,0.00309249140157392,0.00013596266563972,0.00344564752871785,0.00608133542441971,0.0608335219523743,0.298892028793811,0.129233603017122,0.0118608804738267,0.229399257981625,0.015649622005634,0.144177549533708,0.0764426576667119,0.0592935298229482,0.525628471065933,0.0357587890100094
18,0.00784753849998656,0.00389046334210902,0.0442497537179556,0.00489008893353284,0.0309553613309013,0.00742156195528189,0.00108685897339421,0.000482429564595311,0.00140901069677443,0.879092128182938,0.00107074902972437,0.00639157317249091,0.0180466920719044,0.00879176351464572,0.00120510141061812,0.0111358919574851,0.00429643870778279,0.00265520716633201,0.061416477386009,0.00514403028666381,0.000470555671068197,0.000402845679569196
19,0.00375857554466983,0.00204255493640007,0.00871686020073761,0.000182119209976574,0.00404784727452081,0.00207906366460329,0.382879444144807,0.225014639953053,0.000509755024340675,0.000477985374219317,0.000936994334453518,0.00255685870985219,0.00287858139650893,0.0644433209693703,0.00051021711632622,0.000553302740403069,0.00177952767467799,0.00224819651504809,0.00518949692394758,0.000915946029633555,0.000295107186071732,5.00912086492682e-05
